id,title,type,description,release_year,age_certification,runtime,genres,contains_US,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts35775,Wet Hot American Summer: First Day of Camp,SHOW,"It's the first day of camp in this outrageous prequel to the hilarious 2001 cult classic movie. And at Camp Firewood, anything can happen.",2015,TV-MA,30,['comedy'],US,['US'],2,tt4341672,7.4,23674,16.899,6.4
ts41975,Shooter,SHOW,Bob Lee Swagger is an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president.,2016,TV-14,41,"['war', 'drama', 'action']",US,['US'],3,tt4181172,7.5,35547,47.07,7.1
tm196125,"Hello, My Name Is Doris",MOVIE,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,2015,R,95,"['romance', 'comedy', 'drama']",US,['US'],,tt3766394,6.6,20377,14.663,6.4
ts41490,Hap and Leonard,SHOW,"A darkly comic swamp noir story of two best friends set in the late 1980s. Based on the novels by Joe R. Lansdale, the series follows Hap Collins, an East Texas white boy with a weakness for Southern women, and Leonard Pine, a gay, black Vietnam vet with a hot temper.",2016,TV-MA,42,"['action', 'drama', 'crime', 'thriller']",US,['US'],3,tt3729898,7.6,7577,6.231,7.2
tm196296,A Monster Calls,MOVIE,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,2016,PG-13,108,"['fantasy', 'drama', 'thriller', 'animation', 'family', 'european']",US,"['ES', 'US', 'GB']",,tt3416532,7.5,86614,25.422,7.2
ts37971,Master of None,SHOW,"30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",2015,TV-MA,32,"['drama', 'comedy']",US,['US'],3,tt4635276,8.3,72341,21.734,7.6
ts21885,Unbreakable Kimmy Schmidt,SHOW,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",2015,TV-14,30,"['comedy', 'drama']",US,['US'],4,tt3339966,7.6,70242,20.333,7.2
tm219233,Loving,MOVIE,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti-miscegenation arrest for their marriage in Virginia led to a legal battle that would end at the US Supreme Court.",2016,PG-13,123,"['drama', 'romance']",US,"['GB', 'US']",,tt4669986,7,34139,16.292,6.7
ts36983,Fuller House,SHOW,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",2016,TV-Y7,27,"['comedy', 'family']",US,['US'],5,tt3986586,6.7,27148,33.47,7.6
ts41963,Easy,SHOW,"This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture. First dates, friends with benefits, couples with kids. Whatever your relationship status is, it's always complicated.",2016,TV-MA,30,"['drama', 'comedy']",US,['US'],3,tt5562056,6.9,13569,32.563,6.2
ts38204,Making a Murderer,SHOW,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",2015,TV-14,62,"['crime', 'documentation']",US,['US'],2,tt5189670,8.6,93456,10.955,7.9
tm199700,The Danish Girl,MOVIE,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",2015,R,119,"['drama', 'romance', 'european']",US,"['DE', 'GB', 'US', 'BE', 'DK']",,tt0810819,7.1,180805,19.604,7.6
tm200126,He Never Died,MOVIE,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.,2015,R,99,"['horror', 'fantasy', 'drama', 'thriller', 'comedy']",US,"['CA', 'US']",,tt3823012,6.4,19936,10.044,6.1
tm132273,Home,MOVIE,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015,PG,95,"['fantasy', 'scifi', 'comedy', 'family', 'animation']",US,['US'],,tt2224026,6.6,100705,37.237,6.8
ts36046,BUNK'D,SHOW,"Siblings Emma, Ravi, and Zuri Ross leave their extravagant New York City penthouse once again to return to Camp Kikiwaka, a rustic summer camp in Maine where their parents met as teenagers.",2015,TV-G,24,"['comedy', 'family', 'drama']",US,['US'],5,tt4591680,5.3,3174,36.236,7.3
ts36545,Quantico,SHOW,"A diverse group of recruits has arrived at the FBI Quantico Base for training. They are the best, the brightest and the most vetted, so it seems impossible that one of them is suspected of masterminding the biggest attack on New York City since 9/11.",2015,TV-14,43,"['drama', 'thriller', 'crime']",US,['US'],3,tt4428122,6.6,60305,33.415,6.5
